smiles,score_QED,SA_Score,Tox_Prediction,Tox_Probability,Tox_Label,Tox_Color
O=C(O)c1cnn(Cc2ccc(Br)cc2F)c1,0.9472291483114682,2.116308807699804,0,0.01,NON-TOXIQUE,green
O=C(Cc1csc(-c2cccs2)n1)N1CCC[C@@H](O)C1,0.9470698422185524,2.773772447212652,0,0.03,NON-TOXIQUE,green
O=C(Cc1csc(-c2cccs2)n1)N1CCC[C@@H](O)C1,0.9470698422185524,2.773772447212652,0,0.03,NON-TOXIQUE,green
O=C(Cc1csc(-c2cccs2)n1)N1CCC[C@@H](O)C1,0.9470698422185524,2.773772447212652,0,0.03,NON-TOXIQUE,green
NC1(c2ccnc(Cc3ccc(Cl)cc3)n2)CCOCC1,0.9467836815314804,2.685816886510352,0,0.04,NON-TOXIQUE,green
CCC(=O)Nc1nc(-c2ccc3c(c2)CCN3C(C)=O)cs1,0.9465770189707344,2.1948456896929613,1,0.8, TOXIQUE,red
CCC(=O)Nc1nc(-c2ccc3c(c2)CCN3C(C)=O)cs1,0.9465770189707344,2.1948456896929613,1,0.8, TOXIQUE,red
CCC(=O)Nc1nc(-c2ccc3c(c2)CCN3C(C)=O)cs1,0.9465770189707344,2.1948456896929613,1,0.8, TOXIQUE,red
O=C(c1c[nH]c2cccc(F)c12)N1CCN(CC2CC2)CC1,0.9457662219066566,2.23118929125269,0,0.01,NON-TOXIQUE,green
O=C(c1c[nH]c2cccc(F)c12)N1CCN(CC2CC2)CC1,0.9457662219066566,2.23118929125269,0,0.01,NON-TOXIQUE,green
O=C(c1c[nH]c2cccc(F)c12)N1CCN(CC2CC2)CC1,0.9457662219066566,2.23118929125269,0,0.01,NON-TOXIQUE,green
N#C[C@H](c1ccccc1)[C@@H]1CCCN1C(=O)c1cccnc1O,0.9454560582019296,3.4009482235646957,0,0.11,NON-TOXIQUE,green
COC(C)(C)C(=O)N1CCC(c2c[nH]c3ccccc23)CC1,0.9450315194397482,2.356504002348048,0,0.06,NON-TOXIQUE,green
Cc1cc([C@@H](C)NC(=O)c2cn(C)nc2C(C)(C)C)c(C)o1,0.9448208567514632,3.0169898233315777,0,0.0,NON-TOXIQUE,green
Cc1cc([C@@H](C)NC(=O)c2cn(C)nc2C(C)(C)C)c(C)o1,0.9448208567514632,3.0169898233315777,0,0.0,NON-TOXIQUE,green
Cc1cc([C@@H](C)NC(=O)c2cn(C)nc2C(C)(C)C)c(C)o1,0.9448208567514632,3.0169898233315777,0,0.0,NON-TOXIQUE,green
Cn1cc(C#N)cc1C(=O)Nc1cccc(N2CCCC2=O)c1,0.9444989406210618,2.368248175340696,1,0.98, TOXIQUE,red
Cn1cc(C#N)cc1C(=O)Nc1cccc(N2CCCC2=O)c1,0.9444989406210618,2.368248175340696,1,0.98, TOXIQUE,red
Cn1cc(C#N)cc1C(=O)Nc1cccc(N2CCCC2=O)c1,0.9444989406210618,2.368248175340696,1,0.98, TOXIQUE,red
CC[C@@H](C(=O)Nc1nc(C)cs1)n1c(C)cc(C)cc1=O,0.9443955091820594,2.938411468679464,0,0.11,NON-TOXIQUE,green
N#C[C@H](c1ccccc1)[C@@H]1CCCN1C(=O)c1cccnc1N,0.944377036314326,3.2231782934947644,0,0.11,NON-TOXIQUE,green
N#C[C@@H](c1ccccc1)[C@H]1CCCN1C(=O)c1cccnc1N,0.944377036314326,3.2231782934947644,0,0.11,NON-TOXIQUE,green
Cc1cc(C(=O)NCC[C@H]2Cc3ccccc3O2)cc(C)n1,0.9436024066948044,2.658169285248974,0,0.07,NON-TOXIQUE,green
CN(Cc1ccccc1Cl)C(=O)c1ccc(C(N)=O)cc1,0.943540400122453,1.718872532899013,0,0.01,NON-TOXIQUE,green
Cc1ccoc1C(=O)Nc1ccc(C(=O)N2CCOCC2)cc1,0.9434555895600965,2.01718243031649,1,0.96, TOXIQUE,red
Cc1ccoc1C(=O)Nc1ccc(C(=O)N2CCOCC2)cc1,0.9434555895600965,2.01718243031649,1,0.96, TOXIQUE,red
O=C(CN1CCC[C@H](c2ccc(F)cn2)C1)Nc1ccccc1,0.943449825640414,2.468061213583205,1,0.91, TOXIQUE,red
Cc1cc(C(=O)N2CCC[C@@H](c3cn[nH]c3)C2)c(C)n1C(C)C,0.9433995539266504,3.1003712092778084,0,0.04,NON-TOXIQUE,green
CN1CCN(C(=O)c2cccc(-c3ccccc3)c2)[C@@](C)(CO)C1,0.9432568092810912,2.8025331599772514,0,0.11,NON-TOXIQUE,green
C[C@@H](Nc1ccc(C(=O)N(C)C)nn1)c1ccccc1Cl,0.9430987381108766,2.669240060051793,0,0.04,NON-TOXIQUE,green
C[C@@H](Nc1ccc(C(=O)N(C)C)nn1)c1ccccc1Cl,0.9430987381108766,2.669240060051793,0,0.04,NON-TOXIQUE,green
C[C@@H](Nc1ccc(C(=O)N(C)C)nn1)c1ccccc1Cl,0.9430987381108766,2.669240060051793,0,0.04,NON-TOXIQUE,green
Cc1conc1C(=O)N[C@@H](c1ccc(F)cc1)[C@H]1CCCO1,0.9430616677554056,3.361552786798597,0,0.03,NON-TOXIQUE,green
Cc1ocnc1C(=O)N[C@@H](c1ccc(F)cc1)[C@@H]1CCCO1,0.9430616677554056,3.2753945450403545,0,0.0,NON-TOXIQUE,green
C[C@@H](NC(=O)c1cnc([C@@H]2CCCO2)s1)c1ccncc1,0.9430046613150876,3.260652369085623,0,0.01,NON-TOXIQUE,green
C[C@@H](NC(=O)c1cnc([C@@H]2CCCO2)s1)c1ccncc1,0.9430046613150876,3.260652369085623,0,0.01,NON-TOXIQUE,green
C[C@@H](NC(=O)c1cnc([C@@H]2CCCO2)s1)c1ccncc1,0.9430046613150876,3.260652369085623,0,0.01,NON-TOXIQUE,green
C[C@@H]1C[C@@](O)(Cc2nc(-c3ccccc3)cs2)CCO1,0.9425774102506662,3.2880041109449234,0,0.02,NON-TOXIQUE,green
C[C@@H]1C[C@@](O)(Cc2nc(-c3ccccc3)cs2)CCO1,0.9425774102506662,3.2880041109449234,0,0.02,NON-TOXIQUE,green
COc1ccc(Cc2ncccc2C2(N)CCOCC2)cc1,0.9425024810573556,2.4436365783406035,0,0.04,NON-TOXIQUE,green
N#Cc1ccc(N2CCC(C(=O)NCc3ccco3)CC2)cc1,0.9424737575797844,2.031330588128828,1,0.61, TOXIQUE,red
O=C1N(Cc2ccccc2Cl)CC[C@]1(O)Cc1ccncc1,0.942329656509718,2.8767802742599606,0,0.0,NON-TOXIQUE,green
O=C1N(Cc2ccccc2Cl)CC[C@]1(O)Cc1ccncc1,0.942329656509718,2.8767802742599606,0,0.0,NON-TOXIQUE,green
O=C1N(Cc2ccccc2Cl)CC[C@]1(O)Cc1ccncc1,0.942329656509718,2.8767802742599606,0,0.0,NON-TOXIQUE,green
Cc1ccccc1C(=O)NC[C@@H]1CCCN(c2ncccn2)C1,0.9420883802812954,2.4641367589333765,0,0.03,NON-TOXIQUE,green
Cc1ccccc1C(=O)NC[C@H]1CCCN(c2ncccn2)C1,0.9420883802812954,2.4641367589333765,0,0.03,NON-TOXIQUE,green
Cc1ccccc1C(=O)NC[C@@H]1CCCN(c2ncccn2)C1,0.9420883802812954,2.4641367589333765,0,0.03,NON-TOXIQUE,green
C[C@@H]1CCN([C@@H](C)c2nc(-c3cccs3)no2)C[C@H]1O,0.9420370558255454,3.5356045283232724,0,0.01,NON-TOXIQUE,green
Cc1cc(C(=O)N2CC(C(=O)Nc3ccc(Cl)cc3)C2)no1,0.9418921704828038,2.043495110024084,1,0.97, TOXIQUE,red
Cc1nc(NC(=O)[C@H]2CC(=O)N(C)[C@H]2c2ccccc2)sc1C,0.94159371507925,3.032813673739521,0,0.1,NON-TOXIQUE,green
CCS[C@@H]1CCCCN(C(=O)Cc2cccc3[nH]ncc23)C1,0.9415555892717108,3.033223543490731,0,0.03,NON-TOXIQUE,green
Cc1nn(CC(C)C)c(Cl)c1C(=O)Nc1cccnc1,0.9414951484880972,2.185388522664164,0,0.06,NON-TOXIQUE,green
Cc1nn(CC(C)C)c(Cl)c1C(=O)Nc1cccnc1,0.9414951484880972,2.185388522664164,0,0.06,NON-TOXIQUE,green
Cc1nn(CC(C)C)c(Cl)c1C(=O)Nc1cccnc1,0.9414951484880972,2.185388522664164,0,0.06,NON-TOXIQUE,green
Cc1nn(C)c(Cn2ccc([C@@H](O)C3CCC3)c2)c1Cl,0.9412807009737616,3.357650474702405,0,0.02,NON-TOXIQUE,green
N#Cc1cccc(CNC(=O)c2ccccc2N2CCCC2=O)c1,0.9411921052739954,2.02772778726761,1,0.89, TOXIQUE,red
N#Cc1cccc(CNC(=O)c2ccccc2N2CCCC2=O)c1,0.9411921052739954,2.02772778726761,1,0.89, TOXIQUE,red
NCCN(C(=O)c1ccc(F)cc1Cl)c1ccccc1,0.9411090085013236,1.9871520591277017,1,0.71, TOXIQUE,red
O=C(c1cc(COc2ccccc2)[nH]n1)N1CCCCCCC1,0.940937700062368,2.054577782023607,0,0.0,NON-TOXIQUE,green
O=C(c1cc(COc2ccccc2)[nH]n1)N1CCCCCCC1,0.940937700062368,2.054577782023607,0,0.0,NON-TOXIQUE,green
O=C(c1cc(COc2ccccc2)[nH]n1)N1CCCCCCC1,0.940937700062368,2.054577782023607,0,0.0,NON-TOXIQUE,green
C[C@@H](c1nc(-c2cccs2)no1)[C@H](C)N1CCC(O)CC1,0.9407753558684816,3.402239203890163,0,0.0,NON-TOXIQUE,green
C[C@@H]1OCC[C@H]1C(=O)Nc1ccc(-c2ccncc2)cc1,0.940716197517924,2.8776405153655737,1,1.0, TOXIQUE,red
C[C@@H]1OCC[C@H]1C(=O)Nc1ccc(-c2ccncc2)cc1,0.940716197517924,2.8776405153655737,1,1.0, TOXIQUE,red
C[C@H]1OCC[C@H]1C(=O)Nc1ccc(-c2ccncc2)cc1,0.940716197517924,2.8776405153655737,1,1.0, TOXIQUE,red
Cc1ccc(CN)c(N2CCC(Cc3ccccc3)CC2)n1,0.9406998166425214,2.0950358571867564,0,0.05,NON-TOXIQUE,green
O=C(c1cnn(C2CCC2)c1)N1CCC[C@H]1c1cc[nH]n1,0.9406573736098214,3.4713529965217687,0,0.0,NON-TOXIQUE,green
O=C(c1cnn(C2CCC2)c1)N1CCC[C@@H]1c1cc[nH]n1,0.9406573736098214,3.4713529965217687,0,0.0,NON-TOXIQUE,green
O=C(c1cnn(C2CCC2)c1)N1CCC[C@@H]1c1cc[nH]n1,0.9406573736098214,3.4713529965217687,0,0.0,NON-TOXIQUE,green
Cc1ccc(CNC(=O)CN2C(=O)CSc3ccccc32)o1,0.9402740592816116,2.239815664879064,1,0.8, TOXIQUE,red
Cc1nn(C)c(Cn2cc([C@@H](O)C3CC3)ccc2=O)c1Cl,0.9400269445958808,3.144597703497276,0,0.0,NON-TOXIQUE,green
C[C@]1(C(=O)O)c2ccccc2CCN1Cc1ccccc1,0.939752059494472,2.69989592212076,0,0.17,NON-TOXIQUE,green
O=C(NC1CCCC1)c1ccc2nc(N3CCOCC3)sc2c1,0.9395417633953008,2.110886831797364,0,0.1,NON-TOXIQUE,green
Cc1ncc(C(=O)NCC[C@H]2Cc3ccccc3O2)c(C)n1,0.9395398180841344,2.740244010523698,0,0.04,NON-TOXIQUE,green
O=C(CCc1cccc(F)c1)Nc1ccc2c(c1)OCO2,0.9394835061069438,1.7901250832316649,1,0.96, TOXIQUE,red
O=C(CCc1cccc(F)c1)Nc1ccc2c(c1)OCO2,0.9394835061069438,1.7901250832316649,1,0.96, TOXIQUE,red
O=C(CCc1cccc(F)c1)Nc1ccc2c(c1)OCO2,0.9394835061069438,1.7901250832316649,1,0.96, TOXIQUE,red
CC[C@@H](C(=O)Nc1nc(C)cs1)n1c(C)cc(C)nc1=O,0.9392724332130472,2.9471515496511227,0,0.02,NON-TOXIQUE,green
CC[C@H](C(=O)Nc1nc(C)cs1)n1c(C)nc(C)cc1=O,0.9392724332130472,3.0091701731329046,0,0.02,NON-TOXIQUE,green
CC(C)(Oc1ccc(C#N)cc1)C(=O)Nc1ccc(C#N)cc1,0.9392329871198069,2.116171022973834,1,0.99, TOXIQUE,red
CC(C)(Oc1ccc(C#N)cc1)C(=O)Nc1ccc(C#N)cc1,0.9392329871198069,2.116171022973834,1,0.99, TOXIQUE,red
CC(C)(Oc1ccc(C#N)cc1)C(=O)Nc1ccc(C#N)cc1,0.9392329871198069,2.116171022973834,1,0.99, TOXIQUE,red
N#Cc1cccc(CNc2cccc(N3CCCC3=O)c2C#N)c1,0.9392136986803702,2.3460950113478773,1,0.94, TOXIQUE,red
CCN1CCN(c2ncnc(Nc3ccccc3)c2Cl)CC1,0.9387884127512642,2.176539943725219,1,0.87, TOXIQUE,red
COc1ccccc1-c1noc(C[C@@]2(O)CCCC[C@H]2C)n1,0.9387588992782506,3.1497000395458503,0,0.07,NON-TOXIQUE,green
N#Cc1ccc(Nc2ccc(CN3CCOCC3)cc2)nc1,0.9386045659335774,2.046630102748887,1,0.83, TOXIQUE,red
Cc1nc(CC(=O)Nc2ccccc2OC(F)(F)F)cs1,0.9385603578683844,2.0920216045170505,1,0.96, TOXIQUE,red
Cc1nc(CC(=O)Nc2ccccc2OC(F)(F)F)cs1,0.9385603578683844,2.0920216045170505,1,0.96, TOXIQUE,red
Cc1nc(CC(=O)Nc2ccccc2OC(F)(F)F)cs1,0.9385603578683844,2.0920216045170505,1,0.96, TOXIQUE,red
Cc1ocnc1C(=O)N[C@H](c1ccc(Cl)cc1)[C@@H]1CCCO1,0.9385408858762584,3.26971981976563,0,0.01,NON-TOXIQUE,green
O=S(=O)([C@@H]1CCOC1)N1CC=C(c2c[nH]c3ccccc23)CC1,0.9385135441310704,3.217842843893192,0,0.01,NON-TOXIQUE,green
O=S(=O)([C@H]1CCOC1)N1CC=C(c2c[nH]c3ccccc23)CC1,0.9385135441310704,3.217842843893192,0,0.01,NON-TOXIQUE,green
